Rank,Trade,Research Depth,Owner Override,Ph2 Total,Ph3 Total (Corrected),Score Delta,Ph2 Big4,Ph3 Big4 (Corrected),Big4 Delta,Competition (wt10),Job Size (wt9),Differentiation (wt8),Margin (wt8),Install Time (wt7),Post-Sale Risk (wt7),Labor Skill (wt6),Sales Cycle (wt5),Financing (wt5),Crew Size (wt4),Demand Tailwind (wt4),Permits (wt3),Upsell (wt3),Supply Chain (wt2),Seasonality (wt1),Avg Job Size ($),Competitor Count on Wasatch Front,Any Franchise Using In-Home Model?,Utah License Required,Key Strength,Key Weakness,Bundling Potential,In-Home-Sales Model Fit,Utah-Specific Factor
1,Epoxy & Polyaspartic Garage Flooring,Full Research,No,345,315,-30,138,120,-18,3,2,4,5,5,4,4,5,2,5,4,5,3,4,5,"$2K-$5.5K avg (2-car garage)","8-10 (GarageExperts, Garage Force, Hello Garage + 5 locals)",Yes - GarageExperts & Garage Force use free on-site estimates,S300 General Painting (no experience req),Best operational trade: 60% margins; 1-day polyaspartic cure; 2-person crew; lowest licensing barrier of any trade,"Fatal standalone ticket: $2K-$5.5K cannot support in-home-selling cost structure (commissions + marketing + overhead)",EXCELLENT — Core of Total Garage bundle; adds $3K-$6K to any garage package,"Poor standalone (ticket too small), EXCELLENT as bundle component","Utah's large garages (many 3-car), road salt creates floor demand, year-round in garage"
2,Garage Organization & Storage Systems,Full Research,No,333,311,-22,120,110,-10,2,2,4,5,4,5,4,5,2,5,4,5,5,4,5,"$1.5K-$5K standalone; $7K-$15K full makeover","8+ (PremierGarage, GarageExperts, Garage Kings + 5 locals)",Yes - PremierGarage & GarageExperts use design consultation model,"S220 Carpentry or S221 Cabinet Install (no experience req); add S300 if bundling floor",Best upsell progression of any trade: slatwall→cabinets→overhead→workbench→floor coating; 55%+ margins; year-round,"Standalone $1.5K-$5K too small; 3+ national franchises (PremierGarage #1 leader in garage org, 75K+ installs)",EXCELLENT — Natural partner to epoxy; together create $8K-$15K+ packages with best ops profile,"Poor standalone, EXCELLENT as bundle component — proven by franchises already doing this",Utah's outdoor recreation gear + large families = garage clutter problem; org market growing 7.4% CAGR
3,Closet Organization Systems,Full Research,No,333,294,-39,120,94,-26,2,2,3,4,5,5,4,4,2,5,4,5,4,4,5,"$2K-$7.5K avg; walk-in $4.5K-$15K","8-10 (California Closets, Closets by Design, Tailored Closet, Closet Factory, Inspired Closets + locals)","YES — 5+ national franchises all use in-home design consultation model (Closets by Design since 1982)","S220 Carpentry or S221 Cabinet Install (no experience req)",1-day installs; 40-50% margins on accessories; year-round indoor work; no permits; 1-2 person crews,"Most franchise-saturated in-home-sales trade found: 5+ nationals all running the exact appointment→consultation→close model. Avg ticket $2K-$7.5K",MODERATE — Could bundle with garage org for whole-home organization but franchises dominate this entire category,"POOR — you'd be entering the most crowded in-home-sales market on the Wasatch Front, competing against 5+ franchises with decades of brand equity","Large Utah homes with walk-in masters; Marie Kondo trend persistent; 38% of storage solutions focus on closets"
4,Outdoor Lighting,Full Research,No,306,290,-16,122,102,-20,2,2,3,5,5,4,4,4,1,5,4,5,4,5,3,"$3.5K avg; $2K-$6K range; high-end $10K+","6-8 (Outdoor Lighting Perspectives, NiteLites, JellyFish, Trimlight + 4 locals)","YES — OLP invented the category; NiteLites franchise; JellyFish permanent lighting franchise",None for low-voltage (<30V); very low barrier,Exceptional 58%+ gross margins; fast 1-2 day installs; no permits; 1-2 person crews; 15% annual market growth,"Franchise-saturated: OLP invented in-home lighting design, NiteLites since 1992, JellyFish 100s of locations. Avg $3.5K ticket far too small for model",LOW — Standalone trade that doesn't bundle naturally with interior services,"POOR — tiny tickets ($3.5K) can't fund appointment-setter + consultant + close overhead, and franchise brands own the space",Utah's large lots and outdoor living culture; LED tech making landscape lighting more accessible; cold winters limit install to 9 months
5,Shower-to-Walk-in Conversion,Full Research,No,311,289,-22,119,101,-18,1,3,3,5,5,3,3,5,5,4,4,3,4,3,5,"$8K-$12K avg through franchises; basic $3K-$8K","7-8 (Re-Bath, Bath Fitter, West Shore Home, KOHLER/Renuity, Five Star Bath, One Day Bath, Bathcrest, Lifespan)","YES — 6+ national franchises ALL running exact appointment→consultation→one-call-close model",Plumbing sub (P200) required; R100 GC or specialty license,"50%+ gross margins (Re-Bath FDD: 51.3%); proven 1-day install; proven financing model ($8K-$20K); strong aging-in-place tailwind","Most competed in-home-sales trade in Utah — 6+ national franchise competitors with massive ad budgets running your exact model. Competition score of 1 (worst possible)",LOW — Standalone bath trade; doesn't bundle with other services,"TERRIBLE — entering Re-Bath, Bath Fitter, and West Shore Home's turf with no brand equity, no supply chain, and no franchise support","Aging 65+ population grew 53% in decade; 1970s-1990s housing stock needs bath updates; but franchises already capture this demand"
6,Faux Painting & Decorative Finishes,Full Research,No,311,286,-25,148,140,-8,5,2,5,4,3,4,1,4,1,5,3,5,2,4,5,"$2K-$6K typical; Venetian plaster $3K-$6K per room; whole-house up to $15K","3-5 (Happy Valley Painting, Sweeney, Urban Painting Co — all offer as side service)",No — zero competitors use in-home-selling model; no franchise presence,"None for painting; DOPL registration for work >$3K","HIGHEST Big4 of ALL 27 trades (140). Zero competition with in-home model. Zero franchise presence. Venetian plaster trending on social. 45-55% margins on artisan work","Fatal labor scaling: artisan Venetian plaster takes months-to-years to master. No Utah training programs. Can't scale past 1-2 artisan crews. Avg ticket $2K-$6K too small","LOW — Artisan trade that doesn't bundle or scale. Could be a premium add-on within a decorative/design business but can't anchor a volume operation","BOUTIQUE ONLY — phenomenal unit economics (highest Big4) but structurally cannot scale to $500K-$1M Year 1 revenue because labor is the bottleneck, not demand","Venetian plaster/limewash trending heavily in Utah's luxury home market; textured wall aesthetic strong on social media"
7,Sauna Installation,Full Research,No,314,280,-34,141,123,-18,4,3,4,3,3,3,3,3,3,4,5,3,4,3,4,"$3K-$10K typical; custom $10K-$35K; premium packages could reach $12K-$18K","6-10 (Salt Lake Custom Saunas, Custom Utah Saunas, Rogue Saunas, The Home Sauna, Lifespan, Backyards of America)",No — zero competitors use in-home-selling model,"No sauna-specific license; general/specialty contractor + licensed electrician sub for 240V","Zero in-home-selling competitors on Wasatch Front. Strongest demand tailwind found: wellness/sauna market 6.4% CAGR, $200M+ by 2026. Big4 passes 122 threshold (only trade to do so besides Faux Painting)","Typical jobs $3K-$10K (below sweet spot). 35-45% margins (material-heavy). Electrical sub required. Custom builds 3-5+ days. Competition score arguable (4 or 5)","MODERATE — Sauna + cold plunge + outdoor shower = wellness transformation package $15K-$25K. Could also bundle with home gym/garage gym build","PROMISING WITH PREMIUM POSITIONING — needs to push avg ticket from $5K to $12K-$18K through design packages, smart features, turnkey electrical. Zero in-home-sales competition is a real advantage","Utah's 6+ month cold winters = natural sauna demand. Health-conscious culture. Silicon Slopes demo. Biohacking/wellness mainstream"
8,Basement Waterproofing & Crawl Space,Full Research,No,295,280,-15,130,121,-9,3,3,4,4,4,2,3,4,3,4,3,4,4,4,4,"$5K-$10K avg; crawl encapsulation $5K-$15K; interior drain $2K-$6K","7-8 (Groundworks, Davenport, BASEco, Rhino, Superior, Rocky Mtn Waterproofing, Ram Jack)",Groundworks closest to in-home-sales model but most use inspection-based selling,S310 Foundation/Excavation/Demolition license,"Fear-based urgency selling = strong close rate. 40-50% margins. Free inspection → same-visit proposal model is industry standard. Transferable lifetime warranties sell well","Post-sale warranty risk: if water returns, major liability. Lifetime warranties create long-term callback exposure. Avg job $5K-$10K below sweet spot. Utah is relatively dry","MODERATE — Pairs with basement finishing for 'dry + finish' package but different customer journey and timeline","MODERATE — urgency-selling model works, margins are decent, but $5K-$10K tickets and warranty risk make unit economics tight for in-home-selling overhead","Utah basements are universal but semi-arid climate = less acute water issues than Midwest/SE. Spring snowmelt creates seasonal demand peak"
9,Weatherization & Energy Efficiency,Full Research,No,307,278,-29,114,98,-16,4,2,2,3,5,4,3,3,2,5,4,5,3,5,4,"$3K-$8K avg; spray foam $5K-$10K; bundles up to $14K","3-5 (Elite Energy Solutions, Energy Doctors, iFOAM of Layton)",No — no national franchise uses in-home-selling model for weatherization,"S250 Insulation Contractor (25-hr course, no experience req)",Low competition: no in-home-sales franchises. Fast 1-2 day installs. Commodity materials. 2-person crews. Utility rebate programs (ThermWise) create referral pipeline,"$3K-$8K avg ticket fundamentally too small for in-home-selling. Commodity service with limited differentiation (score 2). Utility rebates compress pricing flexibility","LOW — Small tickets and commodity work don't anchor a bundle. Better as a lead-gen add-on or referral partnership with HVAC companies","POOR — ticket size and commodity nature make in-home-selling economics unworkable. Better suited to volume/efficiency model than consultative selling","Utah's extreme climate (hot summers, cold winters) creates genuine weatherization need. ThermWise rebates drive demand. 1970s-1990s housing stock often under-insulated"
10,Accent Wall Installation,Full Research,No,309,276,-33,113,97,-16,4,1,3,3,5,5,3,4,1,5,3,5,2,4,5,"$500-$2.5K per wall; multi-wall $3K-$8K","2-3 dedicated (Accent It, Lone Peak Construction); plus general painters/carpenters",No — no franchise or in-home-sales model in this niche,"S220 Carpentry or S270 Drywall/Paint (no experience req); very low barrier",Low dedicated competition. Fastest installs (4-8 hrs per wall). Zero callbacks (install-and-done). 1-2 person crew. No permits. Year-round,"Fatal ticket: $500-$2.5K per wall yields $250-$1.25K gross profit. Even multi-wall packages rarely exceed $5K-$8K. Trend-volatile (shiplap now 'outdated'). DIY kits eroding demand","HIGH AS ADD-ON — accent walls are a natural value-add within a larger interior project (closet org + accent wall, garage gym + accent wall) but cannot anchor a business","TERRIBLE standalone — sending a sales consultant to close a $1.5K wall job is economically irrational. Only viable bundled within a larger offering","Textured wall trend strong in Utah's modern farmhouse aesthetic. But shiplap/farmhouse being called outdated in 2026; shifting to mineral plaster, reeded panels"
