Rank,Trade,Ph2 Total,Ph3 Total (Corrected),Delta,Ph2 Big4,Ph3 Big4 (Corrected),Competition (10),Job Size (9),Differentiation (8),Margin (8),Install Time (7),Post-Sale Risk (7),Labor Skill (6),Sales Cycle (5),Financing (5),Crew Size (4),Demand Tailwind (4),Permits (3),Upsell (3),Supply Chain (2),Seasonality (1),Key Strength,Key Weakness,Bundling Potential
1,Epoxy & Polyaspartic Garage Flooring,345,315,-30,138,120,3,2,4,5,5,4,4,5,2,5,4,5,3,4,5,"Best operational trade: 60% margins, 1-day installs, 2-person crews, lowest licensing barrier (S300)","Fatal ticket size: $2K-$5.5K avg. 8-10 competitors incl. 3 franchises","EXCELLENT: Core of 'Total Garage' bundle — adds $3K-$6K to any garage package"
2,Garage Organization & Storage,333,311,-22,120,110,2,2,4,5,4,5,4,5,2,5,4,5,5,4,5,"Best upsell progression: slatwall→cabinets→overhead→workbench→floor. 55%+ margins","Standalone $1.5K-$5K. 3+ national franchises (PremierGarage, GarageExperts)","EXCELLENT: Natural partner to epoxy flooring — together create $8K-$15K+ packages"
3,Closet Organization Systems,333,294,-39,120,94,2,2,3,4,5,5,4,4,2,5,4,5,4,4,5,"Fast installs (1-day), 40-50% margins, year-round, no permits","5+ national franchises running the exact in-home model. Avg ticket $2K-$7.5K","MODERATE: Could bundle with garage org for 'whole-home organization' but franchises dominate"
4,Outdoor Lighting,306,290,-16,122,102,2,2,3,5,5,4,4,4,1,5,4,5,4,5,3,"Exceptional margins (58%+), fast installs, no permits, low-voltage = easy licensing","Franchise-saturated (OLP, NiteLites, JellyFish). Avg ticket $3.5K","LOW: Standalone trade — doesn't naturally bundle with interior trades"
5,Shower-to-Walk-in Conversion,311,289,-22,119,101,1,3,3,5,5,3,3,5,5,4,4,3,4,3,5,"50%+ gross margins (Re-Bath FDD), proven 1-day install, proven financing model","Most competed in-home-sales trade in Utah: 6+ national franchises (Re-Bath, Bath Fitter, etc.)","LOW: Standalone trade with entrenched franchise competition"
6,Faux Painting & Decorative Finishes,311,286,-25,148,140,5,2,5,4,3,4,1,4,1,5,3,5,2,4,5,"HIGHEST Big4 (140). Zero competition. Zero in-home-selling competitors. 45-55% margins","Fatal labor scaling: artisan Venetian plaster talent cannot be trained quickly. $2K-$6K avg ticket","LOW: Artisan trade — doesn't scale or bundle easily. Boutique opportunity only"
7,Sauna Installation,314,280,-34,141,123,4,3,4,3,3,3,3,3,3,4,5,3,4,3,4,"Zero in-home-selling competitors. Strongest wellness demand tailwind (6.4% CAGR). Big4 passes at 123","Typical jobs $3K-$10K (need premium positioning). 35-45% margins. Electrical sub required","MODERATE: Cold plunge + outdoor shower + sauna = wellness package $15K-$25K"
8,Basement Waterproofing & Crawl Space,295,280,-15,130,121,3,3,4,4,4,2,3,4,3,4,3,4,4,4,4,"Fear-based selling + urgency = strong close rate. 40-50% margins. Moderate competition","Post-sale warranty risk (lifetime warranties on water systems). Avg job $5K-$10K","MODERATE: Pairs with basement finishing for 'dry + finish' package but different customer"
9,Weatherization & Energy Efficiency,307,278,-29,114,98,4,2,2,3,5,4,3,3,2,5,4,5,3,5,4,"Low competition (no in-home franchises). Fast installs. Commodity materials","$3K-$8K avg ticket fundamentally too small. Commodity service with limited differentiation","LOW: Small tickets, utility rebates compress pricing. Better as lead gen than standalone"
10,Cabinet Refacing & Refinishing,298,275,-23,121,103,2,3,3,4,4,3,3,4,3,4,4,5,4,3,5,"Kitchen #1 reno priority. 40-50% margins. Fast install (2-4 days). Year-round demand","N-Hance (national #1) already runs exact in-home model in SLC. $7K avg ticket","MODERATE: Countertops + hardware + painting could push to $12K-$15K packages"
